sku,store,trannum,count
3750,9404,1900,5
3750,9404,2100,5
3750,9404,3400,5
3750,9404,3500,5
3750,9404,6400,5
6932,9404,1300,12
6932,9404,10900,12
6932,9404,7200,12
6932,9404,3800,12
6932,9404,1900,12
6932,9404,500,12
6932,9404,6200,12
6932,9404,900,12
6932,9404,2000,12
6932,9404,4900,12
7416,9404,400,8
7416,9404,500,8
7416,9404,1000,8
7416,9404,1700,8
7416,9404,2200,8
7416,9404,3000,8
7416,9404,13900,8
7416,9404,15900,8
7449,9404,500,5
7449,9404,2900,5
7449,9404,1000,5
7449,9404,2600,5
7449,9404,3000,5
7915,9404,300,24
7915,9404,400,24
7915,9404,800,24
7915,9404,1000,24
7915,9404,1200,24
7915,9404,1600,24
7915,9404,1700,24
7915,9404,1800,24
7915,9404,2600,24
7915,9404,2700,24
7915,9404,3300,24
7915,9404,3700,24
7915,9404,4400,24
7915,9404,5100,24
7915,9404,5400,24
7915,9404,6400,24
7915,9404,7100,24
7915,9404,10800,24
7915,9404,700,24
7915,9404,1900,24
7915,9404,15800,24
8811,9404,3400,8
8811,9404,300,8
8811,9404,800,8
8811,9404,2300,8
8811,9404,3600,8
8811,9404,1100,8
8811,9404,2000,8
9633,9404,500,34
9633,9404,600,34
9633,9404,700,34
9633,9404,800,34
9633,9404,900,34
9633,9404,1000,34
9633,9404,1200,34
9633,9404,1300,34
9633,9404,1600,34
9633,9404,1700,34
9633,9404,1800,34
9633,9404,2000,34
9633,9404,2100,34
9633,9404,2200,34
9633,9404,2500,34
9633,9404,2600,34
9633,9404,3100,34
9633,9404,3400,34
9633,9404,3500,34
9633,9404,3700,34
9633,9404,4600,34
9633,9404,5600,34
9633,9404,6400,34
9633,9404,7400,34
9633,9404,7700,34
9633,9404,8000,34
9633,9404,13600,34
9633,9404,14100,34
9633,9404,15100,34
9951,9404,1800,9
9951,9404,2500,9
9951,9404,3100,9
9951,9404,3400,9
9951,9404,4300,9
9951,9404,5900,9
9951,9404,7800,9
9951,9404,10100,9
10896,9404,300,20
10896,9404,400,20
10896,9404,600,20
10896,9404,700,20
10896,9404,1400,20
10896,9404,1900,20
10896,9404,2000,20
10896,9404,2400,20
10896,9404,2600,20
10896,9404,2800,20
10896,9404,3100,20
10896,9404,3200,20
10896,9404,3600,20
